"model","Variable","n_total","n_selected","selection_frequency","median_rank","freq_top10","mean_importance","sd_importance","median_importance","importance_scaled","sd_importance_scaled"
"RF","Became_weaker",100,36,0.36,76.5,0,-0.000103818758842689,0.000249863863227526,-7.43971470579827e-05,0.0199951269218873,0.00765759352370236
"RF","Food_drinks_tasted_different",100,17,0.17,81.5,0,-0.000106409888626408,0.000117259784425283,-0.000108465433006485,0.0199157164045176,0.00359366798466621
"RF","Less_energy_to_do_things",100,34,0.34,87,0.01,-0.000127420788313201,0.000349487821057001,-0.000138479632129829,0.0192717940409935,0.0107107752220334
"RF","Felt_out_of_sorts",100,30,0.3,89,0,-0.000127897056112127,0.00026218910814681,-0.000151688443435034,0.0192571978318198,0.00803532607955421
"RF","Pain_in_shoulder_blade",100,14,0.14,91,0,-0.000130275680367295,0.000184241438027672,-0.000164385176080523,0.0191842999847426,0.00564645893333361
"RF","Pressure_sensation",100,28,0.28,85,0.01,-0.000135494704306327,0.000282334441819042,-0.000145323036761199,0.0190243522299959,0.00865272138701745
"RF","Breathing_sound_bubbled_gurgled",100,4,0.04,87,0,-0.000141785067411706,8.63643677224802e-05,-0.000144789194566968,0.0188315710764698,0.00264681420677505
"RF","Blood_mixed_phlegm_expectorates",100,16,0.16,91.5,0,-0.000143527465015857,0.0001998413942424,-0.000143464007373204,0.0187781717075618,0.00612455177211743
"RF","Lost_sense_of_smell",100,19,0.19,89.5,0,-0.000147533531681618,0.00013834112404863,-0.000152845483072503,0.01865539753062,0.00423974912535408
"RF","Early_satiety",100,26,0.26,88,0,-0.000153865425510474,0.000211131688403083,-0.000159442183354415,0.0184613435824008,0.00647056612700962
"RF","Pleural_fluid",100,27,0.27,97,0.01,-0.000173402391480014,0.000302705245159782,-0.000175574398904707,0.0178625929581662,0.00927702667758528
"RF","Angina_pectoris",100,15,0.15,98,0,-0.000184824483363829,0.000172786904707024,-0.000212834396876882,0.0175125393901679,0.00529541113058129
"RF","Lump_in_the_chest",100,16,0.16,97.5,0,-0.00019667731784119,0.000191130689474426,-0.000210561190052843,0.0171492848268271,0.00585759425550615
"RF","Asthma",100,23,0.23,103,0.01,-0.00019836661588393,0.000345341624958227,-0.000266001285630398,0.0170975128035157,0.010583706489549
"RF","Mucus_cough",100,22,0.22,97.5,0,-0.000199956004431103,0.000287605213766386,-0.000212120654027474,0.0170488027127957,0.00881425506622794
"RF","Do_not_enjoy_food",100,15,0.15,99,0,-0.000209179327684609,0.000193665326839857,-0.000252514557155202,0.0167661349452332,0.00593527344618121
"RF","Slight_cough",100,7,0.07,97,0,-0.000213194823240874,0.000143650501773379,-0.000208687541595308,0.0166430718004914,0.00440246595825161
"RF","Calf_cramp",100,23,0.23,99,0.01,-0.00022338134284851,0.000341345772716019,-0.000249883988021461,0.0163308848937138,0.010461245354688
"RF","More_sensitive_to_different_smells",100,11,0.11,100.5,0,-0.000242900683888486,0.000169803760692945,-0.000250162767945555,0.0157326744218035,0.00520398652845033
"RF","More_Smoking",100,0,0,102,0,-0.000243269793336988,0.000124532951078159,-0.000240216350554521,0.0157213623013317,0.00381656918029512
"RF","Discomfort_sensation",100,12,0.12,102.5,0,-0.000247849187699223,0.000180214264571861,-0.000260123044095721,0.0155810173144346,0.00552303789527031
"RF","Clear_throat_more_often",100,12,0.12,101,0,-0.000252812619284751,0.000203005366738273,-0.000258627168261514,0.0154289027146132,0.00622151823609747
"RF","Thickness_in_throat.1",100,5,0.05,103,0,-0.000255732104693364,0.000157067465187204,-0.000252989815115252,0.0153394290617658,0.00481365647943515
"RF","Pneumonia",100,16,0.16,102,0,-0.000266170356340533,0.000309033730177308,-0.000274557583842415,0.0150195273073478,0.00947097615574942
"RF","More_down",100,8,0.08,105,0,-0.00028032689466324,0.000175573192914712,-0.000296299709389598,0.0145856709874394,0.0053808026804387
"RF","Coughing_fits",100,16,0.16,107,0,-0.000282774948129794,0.000276884814961699,-0.000293971914136599,0.0145106453389562,0.00848570633013669
"RF","White_yellow_or_green_phlegm_expectorated",100,8,0.08,109,0,-0.000339487732667069,0.000227394143111339,-0.000338723403016844,0.0127725650660665,0.00696896259877169
"RF","Increased_amount_of_phlegm_expectorates",100,4,0.04,111.5,0,-0.000344386773589511,0.0001965663630771,-0.000347777564355114,0.0126224238509446,0.00602418168611388
"RF","Need_to_clear_throat",100,6,0.06,111.5,0,-0.000346958111391435,0.000255446875909918,-0.000349343898199849,0.0125436198996852,0.00782869646434847
"RF","University_education",100,20,0.2,113.5,0,-0.000386465358899736,0.000431098148263278,-0.000365963756776604,0.0113328388017263,0.0132118920502518
"RF","Dryer_skin",100,4,0.04,113.5,0,-0.000404960441883768,0.000208251686812902,-0.000393694977664196,0.0107660188308452,0.00638230253722777
"RF","Weight_increase_last_2_y",100,6,0.06,112.5,0,-0.000408633513067621,0.00027296878702584,-0.000402092703028513,0.0106534499873708,0.00836569157581041
"RF","Night_sweats",100,2,0.02,114,0,-0.000440388293219986,0.000232690764625572,-0.000400866011747293,0.00968025924381812,0.00713128849128364
"RF","Persisting_pain",100,0,0,118,0,-0.000507480732355383,0.000196198539107111,-0.000508032654954307,0.00762407304395626,0.00601290896178286
"RF","No_comorbidities",100,4,0.04,118,0,-0.000534185036095379,0.000321764429075501,-0.000520348542973462,0.00680566456850511,0.00986113468518124
"RF","Born_in_sweden",100,0,0,123.5,0,-0.000756250837270892,0.000248139536096979,-0.000754219461774743,0,0.00760474796173487
"RLR","Fever",100,100,1,1,1,0.656135835934024,0.126205845623526,0.64292222680233,1,0.192347131053846
"RLR","Current_daily_smoker",100,100,1,2,1,0.475498107794614,0.0774126191339259,0.474977830823296,0.724694616195946,0.1179826110606
