"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,64,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.642145614035088,0.0920572327954271,0.52,0.126774719108988,0.660026315789474,0.11965930386932,0.59853781512605,0.083903440472539,0.590013157894737,0.083864806217417,0.528285670949325,0.100971518176966,0.550672883024007,0.101384791656231,0.550672883024007,0.101384791656231,0.63841194027066,0.0773428870533855,0.181132732397597,0.167553593736177,0.184308003169526,0.169782434770923,0.542739187935993,0.100622079571942
"RLR",0.5,0.0784759970351461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691125438596491,0.0887892009829202,0.408666666666667,0.113174775201292,0.803263157894737,0.101753093540711,0.63009243697479,0.0702435892357755,0.605964912280702,0.0705482245781795,0.487404903725115,0.101854504294665,0.634288739038739,0.128959085161868,0.634288739038739,0.128959085161868,0.635808450278617,0.0533490403636568,0.220134628440816,0.145243541827598,0.238225542798094,0.153382299431444,0.600340782974296,0.103214367459833
"XGB",NA,NA,NA,NA,NA,0.01,3,5,0.9,3,0.8,50,0.694664035087719,0.0895259183711033,0.461333333333333,0.154739562526843,0.753131578947368,0.109540102101896,0.625168067226891,0.0782597867535801,0.607232456140351,0.0817902902244453,0.508597308897412,0.128935649704509,0.597708156781299,0.115975492046334,0.597708156781299,0.115975492046334,0.645864821178058,0.0698001588591647,0.218811170699742,0.165447003150879,0.227719214539651,0.168356938024898,0.609358429434491,0.110346572570274
