"model_id","model","rep","Resample","alpha","lambda","Sens","Spec","Accuracy","BalancedAccuracy","F1","Precision","PPV","NPV","Kappa","MCC","ROC","PR_AUC","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds"
"RLR","RLR","RLR","Fold01.Rep01",0.4,0.0784759970351461,0.333333333333333,0.8,0.6,0.566666666666667,0.416666666666667,0.555555555555556,0.555555555555556,0.615384615384615,0.140350877192982,0.150970271219279,0.676666666666667,0.521074631097737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold02.Rep01",0.4,0.0784759970351461,0.666666666666667,0.736842105263158,0.705882352941177,0.701754385964912,0.666666666666667,0.666666666666667,0.666666666666667,0.736842105263158,0.403508771929825,0.403508771929825,0.775438596491228,0.777332769201056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold03.Rep01",0.4,0.0784759970351461,0.333333333333333,0.736842105263158,0.558823529411765,0.535087719298246,0.4,0.5,0.5,0.583333333333333,0.0727272727272726,0.0764719112901873,0.615789473684211,0.46029574292187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold04.Rep01",0.4,0.0784759970351461,0.533333333333333,0.947368421052632,0.764705882352941,0.740350877192982,0.666666666666667,0.888888888888889,0.888888888888889,0.72,0.501831501831502,0.541011975019971,0.73859649122807,0.779261330565094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold05.Rep01",0.4,0.0784759970351461,0.466666666666667,0.842105263157895,0.676470588235294,0.654385964912281,0.56,0.7,0.7,0.666666666666667,0.32,0.336476409676824,0.659649122807017,0.57499289352382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold06.Rep01",0.4,0.0784759970351461,0.2,0.842105263157895,0.558823529411765,0.521052631578947,0.285714285714286,0.5,0.5,0.571428571428571,0.0449438202247192,0.0548408497107082,0.698245614035088,0.556603375099715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold07.Rep01",0.4,0.0784759970351461,0.333333333333333,0.789473684210526,0.588235294117647,0.56140350877193,0.416666666666667,0.555555555555556,0.555555555555556,0.6,0.128205128205128,0.138214738143788,0.729824561403508,0.699055501368889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold08.Rep01",0.4,0.0784759970351461,0.533333333333333,0.65,0.6,0.591666666666667,0.533333333333333,0.533333333333333,0.533333333333333,0.65,0.183333333333333,0.183333333333333,0.61,0.577449492247433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold09.Rep01",0.4,0.0784759970351461,0.2,0.947368421052632,0.61764705882353,0.573684210526316,0.315789473684211,0.75,0.75,0.6,0.159695817490494,0.227109989583068,0.803508771929824,0.673385753219176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold10.Rep01",0.4,0.0784759970351461,0.4,0.68421052631579,0.558823529411765,0.542105263157895,0.444444444444444,0.5,0.5,0.590909090909091,0.086021505376344,0.0874957278519614,0.585964912280702,0.509400060864704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold01.Rep02",0.4,0.0784759970351461,0.4,0.789473684210526,0.61764705882353,0.594736842105263,0.48,0.6,0.6,0.625,0.196363636363636,0.206474160483506,0.705263157894737,0.674379085069902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold02.Rep02",0.4,0.0784759970351461,0.333333333333333,0.9,0.657142857142857,0.616666666666667,0.454545454545454,0.714285714285714,0.714285714285714,0.642857142857143,0.25,0.288675134594813,0.741666666666667,0.636744425606251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold03.Rep02",0.4,0.0784759970351461,0.333333333333333,0.842105263157895,0.61764705882353,0.587719298245614,0.434782608695652,0.625,0.625,0.615384615384615,0.18450184501845,0.205360024204227,0.63859649122807,0.592631988416015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold04.Rep02",0.4,0.0784759970351461,0.466666666666667,0.947368421052632,0.735294117647059,0.707017543859649,0.608695652173913,0.875,0.875,0.692307692307692,0.435424354243542,0.484649657121975,0.849122807017544,0.822529109464094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold05.Rep02",0.4,0.0784759970351461,0.2,0.789473684210526,0.529411764705882,0.494736842105263,0.272727272727273,0.428571428571429,0.428571428571429,0.555555555555556,-0.0111524163568772,-0.0129261122388247,0.582456140350877,0.464976368753386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold06.Rep02",0.4,0.0784759970351461,0.4,0.7,0.571428571428571,0.55,0.444444444444444,0.5,0.5,0.608695652173913,0.102564102564103,0.104257207028537,0.48,0.434765649736253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
