"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,2,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.668529824561404,0.0891371075414451,0.383333333333333,0.114248631148983,0.776184210526316,0.103358888454756,0.603756302521008,0.0670375969012204,0.579758771929825,0.0672344815663926,0.453077575021888,0.10353986935724,0.583042731778026,0.120020462382766,0.583042731778026,0.120020462382766,0.617679239733116,0.0509246769837934,0.165477384981666,0.138461194207958,0.178181923184906,0.146490116738833,0.57441746413378,0.0965203245529019
"RLR",0.4,0.0784759970351461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689978070175439,0.0896169454652016,0.412,0.121856201246662,0.798657894736842,0.0963501179298927,0.62890756302521,0.0732688338713248,0.605328947368421,0.0748624027061775,0.487612605276831,0.113435450667221,0.624136086136086,0.130902481263892,0.624136086136086,0.130902481263892,0.636434815490716,0.0560256717123229,0.218177777722389,0.154331567710298,0.233458844898704,0.162000432460959,0.602185403977864,0.104961776090069
"XGB",NA,NA,NA,NA,NA,0.01,3,5,0.9,3,0.8,50,0.704292105263158,0.0898978370897306,0.464,0.15393674273281,0.762947368421053,0.110438105606635,0.631865546218487,0.0830049664193608,0.613473684210526,0.0861893216409865,0.515492452120336,0.130481806544106,0.609992727946288,0.125752975538756,0.609992727946288,0.125752975538756,0.649538411799097,0.0718896499896386,0.231992022606267,0.174595240838178,0.241814900912962,0.177995797529917,0.619658958607853,0.107333051792039
