"resample","model","Variable","Importance","importance_scaled"
"Fold02.Rep01","RLR","Anemia",0,0
"Fold02.Rep01","RLR","Heart_disease",0,0
"Fold02.Rep01","RLR","Angina_pectoris",0,0
"Fold02.Rep01","RLR","Pneumonia",0,0
"Fold02.Rep01","RLR","No_comorbidities",0,0
"Fold02.Rep01","RLR","Weight_reduction_last_2_y",0,0
"Fold02.Rep01","RLR","Weight_increase_last_2_y",0,0
"Fold02.Rep01","RLR","Current_daily_smoker",0.444385842282608,1
"Fold02.Rep01","RLR","More_Smoking",0.0578177850570089,0.13010717164171
"Fold02.Rep01","RLR","Less_Smoking",0,0
"Fold02.Rep01","RF","Age",0.0148821641594188,1
"Fold02.Rep01","RF","Sex",0.000198787597750013,0.0766161947169304
"Fold02.Rep01","RF","Living_alone",0.00570592164910891,0.422939697025164
"Fold02.Rep01","RF","University_education",0.00151249418889698,0.159230393573986
"Fold02.Rep01","RF","Born_in_sweden",-0.00101954050299673,0
"Fold02.Rep01","RF","Cold_flu_pneumonia_last_2_y",0.00186445594178306,0.181363979900612
"Fold02.Rep01","RF","Antibiotics_last_2_y",0.00190339973788993,0.183813012688834
"Fold02.Rep01","RF","Asthma",0.000629250613744117,0.103686438136274
"Fold02.Rep01","RF","Emphysema",0.000510684076299143,0.096230222594477
"Fold02.Rep01","RF","Asbestos",-0.000177485448793897,0.0529537601206414
"Fold02.Rep01","RF","Chronic_bronchitis",-0.000240480542409059,0.0489922292689175
"Fold02.Rep01","RF","COPD",0.00261389330342862,0.228493352351912
"Fold02.Rep01","RF","Pleural_fluid",0.000426186596232288,0.090916485365627
"Fold02.Rep01","RF","Anemia",-6.62848735021049e-05,0.0599467572648168
"Fold02.Rep01","RF","Heart_disease",6.66138425706397e-06,0.0645340804045542
"Fold02.Rep01","RF","Angina_pectoris",-0.000499069349705324,0.032730525710339
"Fold02.Rep01","RF","Pneumonia",0.000417778025474517,0.090387701129202
"Fold02.Rep01","RF","No_comorbidities",-6.20805262009718e-05,0.0602111532770928
