"model_id","model","rep","Resample","alpha","lambda","Sens","Spec","Accuracy","BalancedAccuracy","F1","Precision","PPV","NPV","Kappa","MCC","ROC","PR_AUC","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds"
"RLR","RLR","RLR","Fold01.Rep01",1,0.0379269019073225,0.466666666666667,0.789473684210526,0.647058823529412,0.628070175438596,0.538461538461539,0.636363636363636,0.636363636363636,0.652173913043478,0.263537906137184,0.271856780578274,0.652631578947368,0.586294411390973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold02.Rep01",1,0.0379269019073225,0.5,0.85,0.705882352941177,0.675,0.583333333333333,0.7,0.7,0.708333333333333,0.365671641791045,0.378043207407125,0.753571428571429,0.639045036720982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold03.Rep01",1,0.0379269019073225,0.5,0.736842105263158,0.636363636363636,0.618421052631579,0.538461538461538,0.583333333333333,0.583333333333333,0.666666666666667,0.241379310344828,0.243332131696144,0.642857142857143,0.602471404992063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold04.Rep01",1,0.0379269019073225,0.142857142857143,0.789473684210526,0.515151515151515,0.466165413533835,0.2,0.333333333333333,0.333333333333333,0.555555555555555,-0.0731707317073169,-0.086710996952412,0.505639097744361,0.517202769997315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold05.Rep01",1,0.0379269019073225,0.333333333333333,0.789473684210526,0.588235294117647,0.56140350877193,0.416666666666667,0.555555555555556,0.555555555555556,0.6,0.128205128205128,0.138214738143788,0.657894736842105,0.570014323911383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold06.Rep01",1,0.0379269019073225,0.5,0.842105263157895,0.696969696969697,0.671052631578947,0.583333333333333,0.7,0.7,0.695652173913043,0.35546875,0.367905818213731,0.650375939849624,0.580793060395083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold07.Rep01",1,0.0379269019073225,0.333333333333333,0.75,0.571428571428571,0.541666666666667,0.4,0.5,0.5,0.6,0.0869565217391304,0.0912870929175277,0.525,0.587754401099989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold08.Rep01",1,0.0379269019073225,0.466666666666667,0.894736842105263,0.705882352941177,0.680701754385965,0.583333333333333,0.777777777777778,0.777777777777778,0.68,0.377289377289377,0.406746229394577,0.771929824561403,0.701826487707663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold09.Rep01",1,0.0379269019073225,0.428571428571429,0.789473684210526,0.636363636363636,0.609022556390977,0.5,0.6,0.6,0.652173913043478,0.2265625,0.234489422597763,0.68984962406015,0.603998878106021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold10.Rep01",1,0.0379269019073225,0.214285714285714,1,0.666666666666667,0.607142857142857,0.352941176470588,1,1,0.633333333333333,0.238993710691824,0.368394198806504,0.592105263157895,0.631639541813793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold01.Rep02",1,0.0379269019073225,0.4,0.842105263157895,0.647058823529412,0.621052631578947,0.5,0.666666666666667,0.666666666666667,0.64,0.252747252747253,0.272480483769182,0.659649122807018,0.6334704824759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold02.Rep02",1,0.0379269019073225,0.2,0.9,0.6,0.55,0.3,0.6,0.6,0.6,0.109090909090909,0.14142135623731,0.716666666666667,0.644628013598602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold03.Rep02",1,0.0379269019073225,0.357142857142857,0.789473684210526,0.606060606060606,0.573308270676692,0.434782608695652,0.555555555555556,0.555555555555556,0.625,0.153846153846154,0.162703506654572,0.706766917293233,0.528860019655022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
