"model","Variable","n_total","n_selected","selection_frequency","median_rank","freq_top10","mean_importance","sd_importance","median_importance","importance_scaled","sd_importance_scaled"
"XGB","Thick_consistency",100,24,0.24,64,0,0.00048421279565917,0.00103211707475968,0,0.00297820138458048,0.00634814389180677
"XGB","Pain_in_shoulders",100,26,0.26,64,0,0.000438990345197019,0.000881724779562769,0,0.00270005597870132,0.00542314036897348
"XGB","Slight_cough",100,34,0.34,63,0,0.000417217846802486,0.000719548301744436,0,0.00256614195279025,0.00442565699985385
"XGB","Nail_changes",100,21,0.21,64,0,0.000375045375759117,0.000895839599313424,0,0.00230675576395242,0.00550995504240085
"XGB","Thick_mucus",100,17,0.17,64,0,0.000299653828436636,0.000735591514287474,0,0.0018430521761201,0.00452433245460666
"XGB","Difficulty_to_stay_awake",100,25,0.25,64,0,0.000272431310342265,0.000580005058502589,0,0.00167561723469098,0.00356738170445203
"XGB","Difficulty_suppressing_the_cough",100,18,0.18,64,0,0.000255119736011728,0.000577588288706251,0,0.00156914058826058,0.00355251710934386
"XGB","Lump_in_the_chest",100,12,0.12,64,0,0.000207313245297097,0.000624629451673067,0,0.00127510177285831,0.00384184869648073
"XGB","Pain_in_shoulder_blade",100,21,0.21,64,0,0.000205846033025064,0.000451443801090708,0,0.00126607753050203,0.00277665226016659
"XGB","Breathing_sound_hissed",100,14,0.14,64,0,0.000199852277287235,0.000583516192375647,0,0.00122921230967915,0.00358897730014039
"XGB","Difficult_sensing_smells",100,18,0.18,64.5,0,0.000156660305681996,0.000360779644698752,0,0.000963555576130068,0.00221901289474924
"XGB","Feeling_of_discomfort_uneasiness_hard_to_describe",100,14,0.14,64,0,0.000141816609206573,0.000378069653853202,0,0.00087225787026251,0.00232535690231123
"XGB","Barking_cough",100,9,0.09,65,0,9.08850984626691e-05,0.00031661017829803,0,0.000558998292704717,0.00194734397734334
"XGB","Changes_hard_to_describe",100,7,0.07,65,0,8.57027791764562e-05,0.000323220187144914,0,0.000527123896546873,0.00198799952729236
"XGB","Stabbing_sensation_from_taking_deep_breaths",100,4,0.04,65,0,6.6241418890173e-05,0.000367989716263166,0,0.000407424767011219,0.00226335919312995
"XGB","Losing_breath_due_to_coughing",100,5,0.05,65,0,5.95728166148023e-05,0.000266456333368261,0,0.000366408832059131,0.00163886751461679
"XGB","Pain_persists_worsens_when_breathing",100,4,0.04,65,0,3.92860957288937e-05,0.000207682486335341,0,0.000241633235931477,0.00127737282843801
"XGB","Voice_changes_difficult_to_describe",100,2,0.02,65,0,2.88979819771352e-05,0.000203491759440616,0,0.000177740057072892,0.00125159732487396
"XGB","Hacking_cough",100,3,0.03,65,0,2.60740788857122e-05,0.000149718115487098,0,0.000160371346100792,0.000920856910097661
"XGB","Pain_in_throat",100,1,0.01,65,0,1.68053318973903e-05,0.000168053318973903,0,0.000103362949459046,0.00103362949459046
"XGB","More_sensitive_to_different_smells",100,2,0.02,65,0,1.42753201019513e-05,0.000100788469165704,0,8.78018476052136e-05,0.000619910008801856
"XGB","Pain_reduces_improves_when_changing_body_position",100,1,0.01,65,0,1.19562398152582e-05,0.000119562398152582,0,7.35381020315746e-05,0.000735381020315747
"XGB","Headache",100,1,0.01,65,0,1.06651504598678e-05,0.000106651504598678,0,6.55971220733595e-05,0.000655971220733594
"XGB","Feeling_of_choking",100,1,0.01,65,0,1.01030910765645e-05,0.000101030910765645,0,6.21401171189749e-05,0.000621401171189748
"XGB","Breathing_sound_jarred_raspy",100,0,0,65,0,0,0,0,0,0
"XGB","Changes_hard_to_describe.1",100,0,0,65,0,0,0,0,0,0
"XGB","Cold_feet",100,0,0,65,0,0,0,0,0,0
"XGB","Day_sweats_more_than_usual",100,0,0,65,0,0,0,0,0,0
"XGB","Pain_in_whole_body",100,0,0,65,0,0,0,0,0,0
"XGB","Pain_that_shifts_location",100,0,0,65,0,0,0,0,0,0
"XGB","Sores_in_chest",100,0,0,65,0,0,0,0,0,0
"XGB","Sweating_all_the_time",100,0,0,65,0,0,0,0,0,0
"XGB","Thin_mucus",100,0,0,65,0,0,0,0,0,0
"XGB","Trouble_swallowing",100,0,0,65,0,0,0,0,0,0
"XGB","Unlike_other_coughs",100,0,0,65,0,0,0,0,0,0
"XGB","Wheezing_cough",100,0,0,65,0,0,0,0,0,0
