"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,11,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.642007518796992,0.0847940794386624,0.550380952380952,0.123524628742421,0.671921052631579,0.110255773163236,0.619792971734148,0.0722480092044862,0.611151002506266,0.072526922814799,0.550068721868249,0.0881393584389445,0.564226691480174,0.0899267894206037,0.564226691480174,0.0899267894206037,0.6683030723483,0.0690691328957481,0.222685062053888,0.144272692803943,0.227110904682616,0.146211421955705,0.566561016109077,0.0969248841052829
"RLR",1,0.0379269019073225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654971428571429,0.087479483182077,0.403285714285714,0.123903274158754,0.818684210526316,0.0895092495846839,0.640808250572956,0.0712426095272276,0.610984962406015,0.0739935673102038,0.483933301920218,0.117917867600967,0.634122419247419,0.141283539445995,0.634122419247419,0.141283539445995,0.648417671801659,0.0537924183248746,0.231740075325551,0.1535946397677,0.249248556701971,0.162428342160053,0.607580228544557,0.100986837208598
"XGB",NA,NA,NA,NA,NA,0.01,6,1,0.9,1,0.8,50,0.657102255639098,0.0913547484730147,0.445238095238095,0.128423480337959,0.75821052631579,0.0862300049593026,0.624234530175707,0.0708740799869216,0.601724310776942,0.0742986578114868,0.497484872111536,0.114776267346985,0.582025863025863,0.121367828921422,0.582025863025863,0.121367828921422,0.648345795865141,0.0583454251523511,0.208769505660513,0.152558362491763,0.216018300072893,0.158510100369753,0.562312851894257,0.0991873307213232
