"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,10,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.506383333333333,0.0850810972566165,0.33,0.113063652205544,0.667394736842105,0.108146899353273,0.519327731092437,0.0688673874280842,0.498697368421053,0.0686173911740538,0.370157766661447,0.103814106349642,0.439242165514224,0.125480261101905,0.439242165514224,0.125480261101905,0.560149175421645,0.0515224279856102,-0.00251307144375469,0.141345041478132,-0.00176220121975902,0.151707380837968,0.457966780090143,0.075726866718886
"RF",NA,NA,10,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.50684649122807,0.089147817405144,0.323333333333333,0.121854359168988,0.663684210526316,0.10921861258919,0.514394957983193,0.0691209557176973,0.493508771929825,0.069562213019539,0.361740358466697,0.10808572698561,0.432145891174529,0.133196128899326,0.432145891174529,0.133196128899326,0.5570599401879,0.0518157337480675,-0.0133697283479104,0.143451254494731,-0.0123199496431648,0.155412730500276,0.456346715997856,0.0808090428768345
"RF",NA,NA,10,"gini",5,NA,NA,NA,NA,NA,NA,NA,0.509323684210526,0.09323291401031,0.336666666666667,0.121485382215439,0.669052631578947,0.11021393287234,0.523201680672269,0.0744530031001755,0.502859649122807,0.0749166589647287,0.376197263175778,0.112851565039248,0.444555682492602,0.134113305640456,0.444555682492602,0.134113305640456,0.563477430082827,0.0566703479985522,0.00589444992375852,0.153979261019477,0.00663628137460227,0.164307052997397,0.459405568282074,0.082126440585358
"RF",NA,NA,10,"gini",10,NA,NA,NA,NA,NA,NA,NA,0.506725438596491,0.0934686748597119,0.332666666666667,0.121159752997241,0.668973684210526,0.114288942693526,0.521420168067227,0.073679052262802,0.500820175438596,0.0736477481817796,0.372334104086538,0.109550588087263,0.444626967631612,0.130967266576574,0.444626967631612,0.130967266576574,0.561901632964993,0.0553794446910109,0.00182248334226215,0.151355416689175,0.00349849697169078,0.1606847773357,0.458931793736888,0.0863819085215505
"RF",NA,NA,10,"gini",15,NA,NA,NA,NA,NA,NA,NA,0.511913157894737,0.0937517408779526,0.330666666666667,0.120946510331599,0.669526315789474,0.110060904617916,0.520831932773109,0.0726767023485244,0.50009649122807,0.0730453436380209,0.370443494938107,0.112118249438172,0.440337288227768,0.134308355886953,0.440337288227768,0.134308355886953,0.561525673377583,0.0546685163264741,0.000214026573396825,0.150348590832417,0.000852869802066146,0.161158621093124,0.457013664382839,0.0816368277777327
"RF",NA,NA,10,"gini",20,NA,NA,NA,NA,NA,NA,NA,0.511278070175439,0.0930339485537677,0.331333333333333,0.11776252998307,0.675736842105263,0.107438695976877,0.524613445378151,0.0721545510126377,0.503535087719298,0.072517562557123,0.373583109165549,0.107607159341756,0.446612630575479,0.126169428587458,0.446612630575479,0.126169428587458,0.564064932622401,0.0548368818193115,0.00730586250125491,0.149097567353716,0.00860457173188092,0.158341423155736,0.46126546575132,0.0846396641942351
"RF",NA,NA,10,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.510286842105263,0.093706201531681,0.332,0.121339327191279,0.681,0.109561738704646,0.527890756302521,0.0729700987300204,0.5065,0.0736000237404519,0.375252143366363,0.109883122109085,0.4524419985759,0.131666134621712,0.4524419985759,0.131666134621712,0.566512732358108,0.0551192274191043,0.0133589165729994,0.151508698702748,0.0155353333944609,0.161740521441692,0.458891437284562,0.0829797744198849
"RF",NA,NA,11,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.508471052631579,0.0890500461494925,0.334,0.119292715469493,0.66478947368421,0.110974623072392,0.519638655462185,0.0711037973707099,0.499394736842105,0.0711439616448394,0.372729307053101,0.106240633243162,0.441461489404988,0.129105608521403,0.441461489404988,0.129105608521403,0.561093168532982,0.0539209802820689,-0.0011417127961481,0.146404026680752,0.000291528385686742,0.1568529732678,0.457766523489494,0.0772027992719588
"RF",NA,NA,11,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.510820175438596,0.0888524570817273,0.333333333333333,0.117970111682072,0.659578947368421,0.110449404900336,0.516436974789916,0.0698984612732307,0.496456140350877,0.0698447340171788,0.37064328152976,0.105759527074508,0.436620997294759,0.128870397620072,0.436620997294759,0.128870397620072,0.558688233630571,0.0520921914218966,-0.00714663993772351,0.143824888041653,-0.00620876763068411,0.154338432065511,0.458559433665088,0.0783089496422075
"RF",NA,NA,11,"gini",5,NA,NA,NA,NA,NA,NA,NA,0.506941228070175,0.0907480407186492,0.344,0.120127130562559,0.657078947368421,0.110519160675719,0.519672268907563,0.0694357532086108,0.50053947368421,0.0696937062393335,0.379493912006671,0.104495347945439,0.443347061435297,0.12295577725305,0.443347061435297,0.12295577725305,0.562063561304286,0.0526689753322141,0.00114057233126552,0.143219642454684,0.00278191745346502,0.152201595790483,0.461066664760927,0.0784873435444991
