"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,35,"gini",15,NA,NA,NA,NA,NA,NA,NA,0.515974561403509,0.0877989801970435,0.386666666666667,0.124991582208146,0.625868421052632,0.116186342604388,0.520857142857143,0.0764694577047984,0.506267543859649,0.0765322421398012,0.409188090463092,0.105099737662744,0.450175032397943,0.117504816498196,0.450175032397943,0.117504816498196,0.566700578335828,0.0621739007230016,0.0128654084263107,0.155848001262566,0.0145055351932735,0.162729197487525,0.460981991390277,0.0756452891111113
"RLR",0.9,0.0784759970351461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525628947368421,0.0368315703843781,0.00133333333333333,0.00938035294241931,0.997947368421053,0.0144456497139244,0.560764705882353,0.00616442661558393,0.499640350877193,0.00253712895959474,0.111111111111111,0,0.333333333333333,0,0.333333333333333,0,0.561150887774465,0.00512434323754937,-0.000791826309067692,0.00558252531895634,-0.0632458270459571,0.00610977303856227,0.596006327453454,0.178551091814986
"XGB",NA,NA,NA,NA,NA,0.1,3,5,0.6,1,0.5,50,0.510638596491228,0.103871750891042,0.0853333333333333,0.0770266763299715,0.911684210526316,0.0755611926207458,0.549058823529412,0.0489345954238469,0.498508771929825,0.0481598322338379,0.146322671024852,0.107742194187756,0.450489365706757,0.329901188223306,0.450489365706757,0.329901188223306,0.560409086106597,0.0277252440167361,-0.0030698520784803,0.104808448939051,-0.000450912137382249,0.176610248625019,0.472942038280443,0.0992959131010898
