"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"XGB","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",100,4,0.04,8.5,0.04,-0.00178501754385965,0.0104362682500703,0,0.00104362682500703,-0.0038557995811689,0.0002857644934496
"XGB","Night_sweats",100,3,0.03,8,0.03,-0.00181619298245614,0.00867708269569864,0,0.000867708269569864,-0.00353791443996838,-9.44715249439013e-05
"XGB","Early_satiety",100,0,0,8.5,0,-0.00182526315789474,0.00710586977018165,0,0.000710586977018165,-0.00323522188327073,-0.000415304432518748
"XGB","Less_energy_to_do_things",100,2,0.02,8.5,0.02,-0.0019921052631579,0.0106403731972448,0,0.00106403731972448,-0.00410338615007579,0.000119175623760001
"XGB","More_down",100,2,0.02,8,0.02,-0.00206149122807018,0.00915046614520543,0,0.000915046614520543,-0.0038771422320936,-0.000245840224046753
"XGB","White_yellow_or_green_phlegm_expectorated",100,3,0.03,8,0.03,-0.00225149122807017,0.0125948751290725,0,0.00125948751290725,-0.00475058770149216,0.000247605245351811
"XGB","More_irritable",100,6,0.06,9,0.06,-0.00261861403508771,0.0162466563812149,0,0.00162466563812149,-0.00584230313490834,0.000605075064732914
"XGB","Coughing_fits",100,13,0.13,8,0.13,-0.00273182456140351,0.0125844294017918,0,0.00125844294017918,-0.00522884837591129,-0.000234800746895724
"XGB","Loss_of_appetite",100,28,0.28,7,0.27,-0.00295242105263158,0.0230217239228382,0,0.00230217239228382,-0.00752043053887539,0.00161558843361223
"XGB","Felt_worn_out",100,7,0.07,8,0.07,-0.00339656140350877,0.015967163365725,0,0.0015967163365725,-0.00656479302541089,-0.000228329781606652
"XGB","Poorer_condition_lower_fitness",100,15,0.15,8,0.15,-0.00357094736842106,0.0208320127439085,0,0.00208320127439085,-0.00770447065063381,0.000562575913791696
