"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,129,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.720000626566416,0.0717274355519169,0.621190476190476,0.106137660850979,0.717052631578947,0.0932915028996575,0.676093710211357,0.0639466108094193,0.669121553884712,0.0644560196921339,0.61952784858513,0.080490833471226,0.627688715223545,0.0848980214734073,0.627688715223545,0.0848980214734073,0.718759713071138,0.057821770591887,0.338450550215897,0.129577696537781,0.342188385038804,0.130182692993832,0.648067462832278,0.0929048963628366
"RLR",0.1,0.335981828628378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.711267794486216,0.077964882624356,0.349428571428571,0.111019917225064,0.869342105263158,0.0800432315196783,0.646495543672014,0.0625115806897508,0.609385338345865,0.0655601958695809,0.452032361180147,0.115690117806059,0.680463453213453,0.157739319825986,0.680463453213453,0.157739319825986,0.641808436433426,0.0435575718340226,0.231969885928947,0.138102877300524,0.263830981353977,0.153605789594341,0.661767376518248,0.0898277222425439
"XGB",NA,NA,NA,NA,NA,0.1,6,5,0.6,1,0.5,200,0.716569423558897,0.078340063495558,0.519333333333333,0.125813179869822,0.758578947368421,0.0967421848893578,0.656020881079705,0.0721141278597363,0.638956140350877,0.0746639538428391,0.559216688985552,0.104731489111283,0.62338289703073,0.111647983571342,0.62338289703073,0.111647983571342,0.680583546867599,0.0610249417653407,0.283050416075124,0.151432070577227,0.290220091433197,0.154262616387923,0.664321653637034,0.0958921835660961
