"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RLR","Heartburn",100,3,0.03,20,0,-0.000421127819548872,0.00266244759051121,0,0.000266244759051121,-0.000949415183729148,0.000107159544631405
"RLR","White_yellow_or_green_phlegm_expectorated",100,4,0.04,20,0,-0.000433944862155387,0.0021236673508602,0,0.00021236673508602,-0.00085532653786613,-1.2563186444644e-05
"RLR","Pleural_fluid",100,8,0.08,20,0,-0.000511709273182959,0.00195102450799119,0,0.000195102450799119,-0.000898834863354625,-0.000124583683011292
"RLR","Sores_in_chest",100,1,0.01,20,0,-0.000558646616541353,0.00561692565260515,0,0.000561692565260515,-0.00167316652611133,0.00055587329302862
"RLR","Less_Smoking",100,54,0.54,18,0.16,-0.000576441102756901,0.00951912805572502,0.00042556390977446,0.000951912805572502,-0.00246524262800605,0.00131236042249224
"RLR","Breathing_sound_whistling",100,15,0.15,20,0.02,-0.000587313283208027,0.00296701295882042,0,0.000296701295882042,-0.00117603302405483,1.40645763877759e-06
"RLR","Asthma",100,52,0.52,18,0.08,-0.000732919799498741,0.00778879469117437,0.000413533834586467,0.000778879469117437,-0.00227838564536419,0.000812546046366707
"RLR","Cold_flu_pneumonia_last_2_y",100,15,0.15,22,0.01,-0.000901706766917291,0.0034259047222013,0,0.00034259047222013,-0.00158148058934847,-0.000221932944486114
"RLR","Pain_persists_worsens_changing_body_position",100,24,0.24,21,0.01,-0.000928062656641598,0.00428570163318522,0,0.000428570163318522,-0.00177843883964237,-7.76864736408274e-05
"RLR","Hard_to_catch_breath",100,25,0.25,21,0.03,-0.0009887343358396,0.0047441593753135,0,0.00047441593753135,-0.00193007848119207,-4.7390190487133e-05
"RLR","Angina_pectoris",100,15,0.15,20.5,0.03,-0.0010527694235589,0.00465503577272438,0,0.000465503577272438,-0.00197642951260699,-0.000129109334510806
"RLR","Increased_need_for_sleep",100,6,0.06,22,0,-0.00108649373433584,0.00330060791682281,0,0.000330060791682281,-0.00174140595224585,-0.000431581516425822
"RLR","Heart_disease",100,22,0.22,21,0.02,-0.00114253383458646,0.00411544861720932,0,0.000411544861720932,-0.00195912812555143,-0.000325939543621502
"RLR","Breathing_sound_rattled_wheezed",100,34,0.34,21,0.02,-0.00128717293233083,0.0058408257566165,0,0.00058408257566165,-0.00244611948008493,-0.000128226384576728
"RLR","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",100,31,0.31,20.5,0.01,-0.00132063157894737,0.0055936987245087,0,0.000559369872450871,-0.00243054276207112,-0.000210720395823619
"RLR","Less_energy_to_do_things",100,46,0.46,22,0.11,-0.00186124561403509,0.0107944831318321,0,0.00107944831318321,-0.00400310525541457,0.000280614027344398
"RLR","Hard_to_get_air",100,39,0.39,22,0.13,-0.00196660401002506,0.00784845844944895,0,0.000784845844944895,-0.00352390843994689,-0.000409299580103233
"XGB","Age",100,93,0.93,1,0.91,0.0640969486215539,0.0410619812847131,0.0671122807017545,0.00410619812847131,0.0559493606884687,0.0722445365546391
"XGB","Antibiotics_last_2_y",100,76,0.76,5,0.64,0.0162511353383459,0.0248939203979327,0.0141754385964912,0.00248939203979327,0.0113116414538438,0.021190629222848
"XGB","Sex",100,73,0.73,8,0.55,0.0104845488721805,0.0173913940312158,0.0100250626566416,0.00173913940312158,0.00703371898733474,0.0139353787570262
"XGB","Current_daily_smoker",100,69,0.69,7.5,0.59,0.00994285213032583,0.0207646812542116,0.012919298245614,0.00207646812542116,0.00582268887643629,0.0140630153842154
"XGB","Thickness_in_throat",100,72,0.72,10.5,0.49,0.00658270426065163,0.0124451836669773,0.00637218045112786,0.00124451836669773,0.00411330982088935,0.00905209870041392
"XGB","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",100,73,0.73,10,0.51,0.00657453383458647,0.0138120364141956,0.00682706766917296,0.00138120364141956,0.0038339261556889,0.00931514151348404
"XGB","Living_alone",100,66,0.66,8.5,0.53,0.00581914285714287,0.0208130959768221,0.00968671679197998,0.00208130959768221,0.00168937307192232,0.00994891264236341
"XGB","Weight_reduction_last_2_y",100,62,0.62,14.5,0.44,0.00534068671679199,0.0191735882033673,0.00417293233082706,0.00191735882033673,0.00153623084320611,0.00914514259037787
"XGB","Irritating_cough",100,64,0.64,9,0.55,0.00502666165413535,0.0222641565715351,0.00838345864661658,0.00222641565715351,0.00060896996593395,0.00944435334233675
"XGB","Loss_of_appetite",100,64,0.64,12,0.43,0.00492715789473685,0.0193150705844057,0.00522556390977449,0.00193150705844057,0.00109462884727026,0.00875968694220345
