"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,2,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.712597493734336,0.0841338946472941,0.467952380952381,0.115909292785401,0.812447368421053,0.0904308614546672,0.664779475426534,0.0702253200888833,0.640199874686717,0.0727565378557245,0.540320207386833,0.109327016077227,0.65990507531684,0.134095742391258,0.65990507531684,0.134095742391258,0.672368143468506,0.0526237645382389,0.290165710280028,0.150635432858978,0.304560535963892,0.158750197858286,0.651528612360165,0.105273900487916
"RLR",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.708970426065163,0.0886375735623736,0.243428571428571,0.0993814443277591,0.898421052631579,0.0626385255195518,0.617811051693405,0.0560174251513383,0.570924812030075,0.0600580678098211,0.346106814985466,0.121938243909231,0.649696608946609,0.197813207070194,0.649696608946609,0.197813207070194,0.613876855260451,0.0362031047177256,0.15294719717616,0.128860854470973,0.191146683587971,0.158306760517273,0.641246764984242,0.107323790764227
"XGB",NA,NA,NA,NA,NA,0.01,6,1,0.6,3,0.5,100,0.712404010025063,0.0892303644547662,0.507952380952381,0.128632972995573,0.774105263157895,0.090102956490918,0.660010695187166,0.0777039662264332,0.641028822055138,0.0813298447003093,0.556819566309346,0.114629035131623,0.630873186454069,0.123174637869133,0.630873186454069,0.123174637869133,0.680008720769641,0.0643677622459284,0.288164685610682,0.165775760005724,0.295759607261748,0.169544855967828,0.636504923498387,0.104071298430808
