"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,2,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.704481829573935,0.0853399961977295,0.498285714285714,0.119700030490915,0.787315789473684,0.0908087375258942,0.6633837535014,0.0766217594470011,0.642800751879699,0.0791688671809761,0.55555316767204,0.11106516421934,0.643067763935411,0.130005762103413,0.643067763935411,0.130005762103413,0.678512689157211,0.0603842022459158,0.293124205821505,0.162490079557418,0.302587980108906,0.168171271496041,0.646738629038057,0.106121120732623
"RF",NA,NA,2,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.705100877192982,0.084846172945927,0.499857142857143,0.119761123014039,0.786921052631579,0.0955203109405371,0.66380850522027,0.0779350170165739,0.643389097744361,0.0800276683349418,0.556830197330617,0.110656347239651,0.644187639974405,0.129574031242786,0.644187639974405,0.129574031242786,0.678886523607361,0.0610141930719854,0.294386084757072,0.164111826955196,0.303963960242997,0.169478765890793,0.646959057383675,0.104965155117055
"RF",NA,NA,2,"gini",5,NA,NA,NA,NA,NA,NA,NA,0.705024185463659,0.0800988464074594,0.501095238095238,0.116390461395607,0.796342105263158,0.0962000063756294,0.66974688057041,0.07358333660489,0.648718671679198,0.0754659097998588,0.561768311804455,0.107958255495182,0.657312138841551,0.135081310502228,0.657312138841551,0.135081310502228,0.6820922674176,0.0554324111911485,0.305847124833552,0.155995465653241,0.317212461702678,0.163730610837692,0.645523083830292,0.102971542828327
"RF",NA,NA,2,"gini",10,NA,NA,NA,NA,NA,NA,NA,0.70561992481203,0.0826410808241083,0.494904761904762,0.122167403984464,0.794157894736842,0.0969494556751437,0.665886681945505,0.0769678187350518,0.644531328320802,0.0792941407692574,0.555305440849446,0.113872277445257,0.651439673072026,0.13755622035458,0.651439673072026,0.13755622035458,0.679015634807854,0.0591425812070321,0.297240587550784,0.163441496190876,0.308466685221792,0.170657945257182,0.646085658219133,0.102932373431446
"RF",NA,NA,2,"gini",15,NA,NA,NA,NA,NA,NA,NA,0.707762656641604,0.0845534504202889,0.485666666666667,0.117809813109377,0.796394736842105,0.0976497473247034,0.663167812579577,0.078214163577398,0.641030701754386,0.0801170716069372,0.549480546365403,0.112747910832811,0.650591023355729,0.143134317637474,0.650591023355729,0.143134317637474,0.675213394449436,0.0581396125208597,0.29065363471271,0.165676913203128,0.302587405449273,0.174006176178395,0.64844090929794,0.104306710475353
"RF",NA,NA,2,"gini",20,NA,NA,NA,NA,NA,NA,NA,0.70846365914787,0.0842042394899675,0.484285714285714,0.121462755376606,0.801105263157895,0.0956701180209075,0.665360325948561,0.0744098820838665,0.642695488721804,0.0769934283255149,0.549332999799524,0.111468175637073,0.655063176202882,0.137488411554411,0.655063176202882,0.137488411554411,0.676473950256431,0.0571882218568332,0.294184270055469,0.158643465782167,0.306953922209824,0.166430205879665,0.652216871485428,0.105087102426326
"RF",NA,NA,2,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.712597493734336,0.0841338946472941,0.467952380952381,0.115909292785401,0.812447368421053,0.0904308614546672,0.664779475426534,0.0702253200888833,0.640199874686717,0.0727565378557245,0.540320207386833,0.109327016077227,0.65990507531684,0.134095742391258,0.65990507531684,0.134095742391258,0.672368143468506,0.0526237645382389,0.290165710280028,0.150635432858978,0.304560535963892,0.158750197858286,0.651528612360165,0.105273900487916
"RF",NA,NA,5,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.686071052631579,0.0851138782853965,0.545190476190476,0.11496809070158,0.742526315789474,0.0938113575480226,0.657965877259995,0.0765546319640887,0.643858395989975,0.0782967128241328,0.574895760637986,0.100696710240935,0.618845124217028,0.113678376239951,0.618845124217028,0.113678376239951,0.687058235490548,0.0640104401406691,0.291619586904633,0.158828621557718,0.296432415794611,0.161970343415956,0.622247859312733,0.0981391246929597
"RF",NA,NA,5,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.684774561403509,0.0860795831158343,0.541095238095238,0.113209731670978,0.736184210526316,0.0993398387593477,0.652529666412019,0.0788309052270541,0.638639724310777,0.0797994387047725,0.569685428056062,0.100152723574355,0.612679975253505,0.114946055156298,0.612679975253505,0.114946055156298,0.682741243984948,0.0647119144648476,0.281117646551249,0.162015817598731,0.28597800912285,0.164914379775153,0.618812171087502,0.10141464897254
"RF",NA,NA,5,"gini",5,NA,NA,NA,NA,NA,NA,NA,0.689654260651629,0.0844771562963991,0.546285714285714,0.112910760659245,0.738210526315789,0.0950865422456972,0.655879806468042,0.0767985039845736,0.642248120300752,0.0782538617150445,0.5743171223161,0.0976930964158882,0.615900465547524,0.110419654410197,0.615900465547524,0.110419654410197,0.68606686506349,0.0653987626515956,0.288148922587911,0.158286396319782,0.292898383494416,0.161102126905916,0.626489762895051,0.101287177674457
"RF",NA,NA,5,"gini",10,NA,NA,NA,NA,NA,NA,NA,0.693325438596491,0.0846127585845937,0.554428571428571,0.116353852209255,0.730421052631579,0.100116974590965,0.654908836261777,0.0806200696556538,0.642424812030075,0.0819258000785747,0.57722056008861,0.102728607295962,0.612491755492529,0.116121378643043,0.61249175549253,0.116121378643043,0.687669931867761,0.0671345868916014,0.287909317952198,0.166009731427579,0.292221008144953,0.16887805425532,0.630839814535757,0.103981092796538
"RF",NA,NA,5,"gini",15,NA,NA,NA,NA,NA,NA,NA,0.698333834586466,0.083480140490105,0.557809523809524,0.113169998833702,0.735157894736842,0.0945635487531589,0.659122994652406,0.0736077095404756,0.646483709273183,0.0751989937742727,0.581304229122079,0.096288953593187,0.617575487421076,0.106847817822404,0.617575487421076,0.106847817822404,0.691093587514697,0.0619410133382608,0.296127855550654,0.152224794434632,0.300532312983424,0.154667200605312,0.63564270789391,0.10295112513691
"RF",NA,NA,5,"gini",20,NA,NA,NA,NA,NA,NA,NA,0.701445112781955,0.0854345429291377,0.557380952380952,0.115143038562251,0.736763157894737,0.096950087008704,0.659817672523555,0.0747323622530347,0.647072055137845,0.0762587129007084,0.581419864744206,0.0979289332452009,0.618665270702809,0.106408472415128,0.618665270702809,0.106408472415128,0.691279326640216,0.0629053038760886,0.297402838506853,0.154224645276717,0.301769671364196,0.156224286645632,0.640738583926222,0.106128582721847
"RF",NA,NA,5,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.705223308270677,0.0827271937276205,0.550238095238095,0.120401869137685,0.742105263157895,0.101471448463307,0.659801375095493,0.0771015902135836,0.646171679197995,0.0787503687720384,0.577831697105921,0.102932603183499,0.621580418635372,0.113231042722938,0.621580418635372,0.113231042722938,0.689644973416352,0.0646171076198724,0.296070668356641,0.159673475517731,0.301397195924893,0.16238119472712,0.643946878649016,0.104178192445236
"RF",NA,NA,8,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.674856892230576,0.0858259877515957,0.547333333333333,0.114551598680088,0.729894736842105,0.0958281698542176,0.651680926916221,0.0748379601210555,0.638614035087719,0.0763105884761587,0.571333530019907,0.0968782131098851,0.608765282103517,0.106525090183478,0.608765282103517,0.106525090183478,0.684367844948758,0.0635007561336551,0.280386090599864,0.15424887004167,0.284837504598317,0.156425947761069,0.607402154099306,0.100978337665598
