"model_id","model","rep","Resample","alpha","lambda","Sens","Spec","Accuracy","BalancedAccuracy","F1","Precision","PPV","NPV","Kappa","MCC","ROC","PR_AUC","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds"
"RLR","RLR","RLR","Fold01.Rep01",0,1,0.4,0.736842105263158,0.588235294117647,0.568421052631579,0.461538461538462,0.545454545454545,0.545454545454545,0.608695652173913,0.140794223826715,0.145238554007571,0.659649122807017,0.59450829447462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold02.Rep01",0,1,0.142857142857143,0.9,0.588235294117647,0.521428571428571,0.222222222222222,0.5,0.5,0.6,0.048,0.0654653670707977,0.717857142857143,0.595048030445796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold03.Rep01",0,1,0.357142857142857,0.947368421052632,0.696969696969697,0.652255639097744,0.5,0.833333333333333,0.833333333333333,0.666666666666667,0.329268292682927,0.390199486285854,0.763157894736842,0.776432721979663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold04.Rep01",0,1,0.357142857142857,0.894736842105263,0.666666666666667,0.62593984962406,0.476190476190476,0.714285714285714,0.714285714285714,0.653846153846154,0.269617706237425,0.304507707995551,0.781954887218045,0.683051702554411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold05.Rep01",0,1,0.133333333333333,0.947368421052632,0.588235294117647,0.540350877192982,0.222222222222222,0.666666666666667,0.666666666666666,0.580645161290323,0.0881226053639846,0.14127454971271,0.666666666666667,0.599359502699398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold06.Rep01",0,1,0.214285714285714,0.947368421052632,0.636363636363636,0.580827067669173,0.333333333333333,0.75,0.75,0.620689655172414,0.178423236514523,0.244792801539927,0.778195488721805,0.716409055567734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold07.Rep01",0,1,0.333333333333333,0.85,0.628571428571429,0.591666666666667,0.434782608695652,0.625,0.625,0.62962962962963,0.194690265486726,0.216060405362556,0.686666666666667,0.537981627661441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold08.Rep01",0,1,0.266666666666667,0.894736842105263,0.61764705882353,0.580701754385965,0.380952380952381,0.666666666666667,0.666666666666667,0.607142857142857,0.172284644194757,0.210223257224381,0.745614035087719,0.63707416661006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold09.Rep01",0,1,0.285714285714286,1,0.696969696969697,0.642857142857143,0.444444444444444,1,1,0.655172413793103,0.315352697095436,0.432657044582197,0.691729323308271,0.708970585987986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RLR","RLR","RLR","Fold10.Rep01",0,1,0.0714285714285714,0.894736842105263,0.545454545454545,0.483082706766917,0.117647058823529,0.333333333333333,0.333333333333333,0.566666666666667,-0.0377358490566038,-0.0581675050747111,0.733082706766917,0.626359804640288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
